rank,plate_code,plate_name,strength,speed,change_percent,amount,main_net_amount,main_buy_amount,main_sell_amount,volume_ratio,float_market_value,large_order_net_amount,raw_columns
188,801623,远东开发,107,1.333,-0.075,15984660381,-4207341,117202235,-121409576,0.928,903784620323,-6483245,19
189,801657,减速器,106,1.336,0.115,40960463483,-6086015,1376820942,-1382906957,1.122,1250401161489,-83254228,19
190,801138,超级电容,106,1.065,-0.041,27943881695,-2723377,14466806,-17190183,0.996,690309843733,0,19
191,801762,甘肃省,106,1.061,-0.016,7036073928,-3259544,36293990,-39553534,1.103,353292290997,0,19
192,801956,卫生护理,105,1.051,-0.07,1669177519,-8536403,31660465,-40196868,1.13,69915237371,-3800566,19
193,801198,送转填权,105,1.05,0.057,485986990,2872722,31145317,-28272595,0.962,39933681100,-4003029,19
194,801606,成渝经济圈,103,1.033,0.05,810277026,-37531220,84639558,-122170778,1.178,49679609372,-3431570,19
195,803024,低价股,102,1.224,0.636,385670692482,124116750,4574069575,-4449952825,1.001,27653356721609,15445154,19
196,801067,面板,102,1.279,0.301,177942583665,-1211779187,8714052037,-9925831224,1.014,4575817437355,-438047234,19
197,801411,柔性屏,102,1.443,-0.031,57804285285,37156232,380039341,-342883109,1.158,1279167244468,47357953,19
198,801768,陕西省,99,0.992,0.418,38384877374,-153426436,697655511,-851081947,0.929,1553968732844,-5939422,19
199,801044,土地流转,98,1.32,0.092,14362312264,-5194072,163939056,-169133128,0.869,510865596693,-27649159,19
200,801742,内蒙古自治区,97,1.369,-0.09,19047447128,3600446,13501777,-9901331,0.692,1029242769152,0,19
201,801964,压缩机,96,1.548,0.141,8371468394,-30364580,127842460,-158207040,0.992,429945328989,3201104,19
202,801850,食品安全,95,0.957,0.107,14520639726,-669061,167364323,-168033384,1.04,523324164842,11064284,19
203,801656,热泵,95,0.95,-0.024,8587105104,14443420,79373349,-64929929,0.951,235476064603,0,19
204,801071,保险,94,0.949,-0.081,7569020342,326903535,3167446749,-2840543214,1.02,2100265894672,93381626,19
205,801086,玻璃,94,1.325,0.1,8230212876,-35144329,530599566,-565743895,0.969,382382705262,-34209404,19
206,801211,新疆,93,1.186,0.015,40175093416,-55183530,205790909,-260974439,0.905,1326166912500,9485437,19
207,801825,烟花爆竹,93,0.933,-0.037,1847142906,-32262484,94989347,-127251831,1.048,50736362203,-17878251,19
208,801433,光学镜头,92,0.921,0.086,13276134696,-19959450,1374697364,-1394656814,0.8,421009455066,-50555775,19
209,801035,酿酒,92,0.92,0.158,29171513180,81732375,3303176580,-3221444205,1.023,3418046996586,-240563182,19
210,801990,外卖概念,91,0.919,-0.008,4185564647,-16571811,38857833,-55429644,0.975,227569574107,0,19
211,801149,社区团购,90,0.907,0.025,4411070604,9312735,85768393,-76455658,0.967,263317515323,0,19
212,801358,大飞机,90,1.178,0.192,82973252609,108816143,3298215572,-3189399429,1.058,2628362561827,369029632,19
213,801457,武汉,89,1.072,0.005,39748194432,-31465312,197962243,-229427555,1.026,956769773548,-5004942,19
214,801287,养老概念,89,1.022,0.069,32714786213,-14254257,195645714,-209899971,1.047,1438293065897,-8407291,19
215,801443,转基因,89,0.893,-0.119,3282474598,-1091439,214826593,-215918032,0.94,142545891324,-7542391,19
216,801319,福建,88,1.219,0.074,82831552733,-111548042,280901625,-392449667,0.933,4124395584764,-14663902,19
217,801137,醋酸,88,0.888,-0.251,2364773967,-84633090,628104749,-712737839,0.798,128521547928,-53055555,19
218,801033,国有企业,88,1.034,0.533,569133103213,-158512351,7962344545,-8120856896,0.97,39486672959986,65769587,19
219,801471,免税,88,0.881,0.003,11704503391,-206510393,1182547722,-1389058115,0.944,697177760883,-22786316,19
220,801767,重庆市,87,1.016,0.131,20305079589,-35861161,66217185,-102078346,1.103,995206614946,-4003029,19
221,801651,湖南,85,1.1,0.059,50696113759,-136654836,565292422,-701947258,1.215,1538822367980,-2058991,19
222,801246,水务,85,0.85,0.041,1672956331,-19969247,67757970,-87727217,0.989,144413568884,0,19
223,801391,美容护理,84,0.847,0.089,10060797054,-7666730,162498316,-170165046,1.453,391140311575,-8260475,19
224,801382,分拆上市预期,83,1.04,0.009,51719264194,-120935848,217102978,-338038826,0.901,2458171807202,-17109350,19
225,801612,脑机接口,82,1.04,0.229,42322354311,-106994545,335295011,-442289556,1.127,1574779053609,14773907,19
226,801419,通用航空,82,1.039,0.035,12235872394,-42692453,168707406,-211399859,1.005,543215501323,13329550,19
227,801467,REITs,81,1.071,0.03,30999262550,23993961,145834696,-121840735,1.277,930716397580,12593683,19
228,801415,电子发票,81,0.817,0,1224508668,0,0,0,1.109,62041904445,0,19
229,801541,生物质能,74,0.742,0.187,20816625676,-16680613,219903918,-236584531,1.321,760506330137,0,19
230,801747,宁夏回族自治区,73,1.452,0.12,6673427629,-1379328,8888974,-10268302,0.792,299117612142,0,19
231,801420,蓝宝石,72,1.033,-0.001,46383123007,-42193144,1115539341,-1157732485,0.93,941636012358,35378547,19
232,801200,互联网医疗,72,1.289,0.254,23283068772,-52398465,364328132,-416726597,1.107,748530700162,7852479,19
233,801234,航运,70,0.706,0.004,18612753159,-398524438,2058795987,-2457320425,0.787,1370568760124,-248414585,19
234,801243,宠物经济,69,0.777,0.32,25439432515,84676833,569227447,-484550614,1.159,1086737306180,-26276061,19
235,801530,中字头,63,0.63,0.008,78535260291,290552885,1285815950,-995263065,0.953,11805690906058,-12293008,19
236,801595,北交所,62,0.697,0.623,13458347070,0,0,0,1.029,520592949097,0,19
237,801049,租售同权,59,0.592,-0.019,3143182846,17089824,56323067,-39233243,0.691,281767129414,-6154924,19
238,801862,高股息精选,57,0.579,0.279,71379272278,-12828713,1353310960,-1366139673,1.009,14734210163473,-70553560,19
239,801057,石油石化,52,0.522,0.107,27685390778,-512150235,4843418078,-5355568313,0.686,3957242595081,-4559282,19
240,801547,碳基材料,51,0.513,0.059,6743165704,-25557537,71791602,-97349139,1,155442660463,0,19
241,801081,证券,44,0.445,0.162,26435686128,663355207,6935776974,-6272421767,0.832,3051310813199,309659134,19
242,801144,医美,40,0.594,0.253,34886789703,3781881,687812043,-684030162,1.027,1155885480390,15602034,19
243,801117,港口,39,0.391,0.036,2004253667,54834096,498917362,-444083266,0.808,496818685961,2210518,19
244,801046,医疗器械,38,0.727,0.387,88523986165,-214310328,3781279717,-3995590045,0.981,4224923428604,-72904872,19
245,801332,大麻,38,0.55,0.057,19660559847,-172799481,1455097212,-1627896693,1.273,468711193223,9476144,19
246,801418,民营医院,37,0.373,0.139,18554208137,-56469156,354591194,-411060350,0.985,690363733995,-4691769,19
247,801376,健康中国,33,0.335,-0.002,29385000626,-39075766,331061343,-370137109,0.901,1497304521806,10542513,19
248,801733,中特估,33,0.332,-0.02,95540955498,91593177,674582556,-582989379,0.972,20508896884297,-45443577,19
249,801856,破净股概念,31,0.416,0.645,66904334574,217224012,1868871879,-1651647867,0.968,16023011100336,88376331,19
250,801039,机场航空,30,0.305,0.011,5112323360,-105741459,1177033080,-1282774539,0.821,607335791201,16817608,19
251,801254,防脱发,26,0.267,0,6007704412,0,0,0,1.866,202074124658,0,19
252,801654,眼科医疗,2,0.029,0.075,14246477187,-174128595,357801870,-531930465,1.374,794632641641,-29699621,19
253,801417,天津自贸区,0,-0.002,-0.22,1487004132,1065880,16649236,-15583356,1.262,88430174002,0,19
254,801408,智能家居,-25,1.751,0.4,77553138953,-44453505,645558359,-690011864,1.09,3143784172527,1132782,19
255,801369,病毒防治,-27,0.852,0.51,155651760081,-226403588,11012915644,-11239319232,1.04,5508154808906,176668568,19
256,801676,地产链,-28,1.413,0.559,71903527863,123541044,4689598849,-4566057805,0.965,3304310725594,2822993,19
257,801322,芬太尼替代,-32,-0.325,-0.002,1680889990,-35857643,97182923,-133040566,0.84,116637706799,3243490,19
258,801027,银行,-34,-0.345,0.249,21049931559,-610261848,8101763945,-8712025793,1.112,10142060297393,-107007492,19
259,801093,天然气,-35,0.642,0.268,41173872103,-218717917,4605185530,-4823903447,0.8,3922355841746,73077575,19
260,803014,海峡两岸,-40,1.459,0.29,174138629372,-124407382,1091056498,-1215463880,0.903,6183289084300,-14956967,19
261,801653,霍乱概念,-61,-0.612,-0.1,4997640208,-1989931,802102,-2792033,1.769,69370853868,0,19
262,801579,垃圾发电,-61,1.15,0.153,9783203929,180748955,2835700362,-2654951407,0.966,429357467198,218367160,19
263,801584,数字经济,-81,2.04,0.501,725422465518,1828529652,25179208281,-23350678629,1.063,21250691781894,1034888154,19
264,801232,环球影城,-93,-0.936,0,2194725559,0,0,0,1.304,49779606900,0,19
265,801613,幽门螺杆菌,-124,0.422,0.039,7058896116,-77279816,645968094,-723247910,1.097,239315881452,-12410574,19
266,801631,次新股,-197,0.03,0.29,39530298432,2336694528,2683937206,-347242678,1.027,298210629568,467087733,19
267,801379,碳纤维,-313,1.015,0.09,36660791408,-375091853,957617798,-1332709651,1.082,1157368201884,-100120246,19
268,801045,医药,-766,0.372,0.515,184522030642,-2582568969,27015709873,-29598278842,1.029,7779127483370,-975926126,19
